Job Title,Company Name,Language and Tools,City,Province,Type of Work,Seniority
"Senior Analyst, Health Indicators and Client Support",Canadian Institute for Health Information,"Python, Vue, Sas, Python",Toronto,ON,In Person,Senior
"Technical Business Analyst, Capital Markets Technology with Credit Derivatives",Scotiabank,"Sql, Gap, Excel",Toronto,ON,In Person,Not Applicable
"Senior Business Analyst, GFT",Royal Bank of Canada,"Sql, Tableau, Excel, Gap, Snowflake, Teradata",Vancouver,BC,In Person,Senior
Senior Business Analyst - Supply Chain Optimization,Vancouver Fraser Port Authority,"Excel, Jira",Vancouver,BC,In Person,Senior
Loyalty Campaign & Offer Analyst,Parkland Corporation,"Database, Tableau, Power BI, Sql, Excel, Python",Calgary,AB,In Person,Not Applicable
Pricing & Legal Project Management Analyst,Gowling WLG,"Power Bi, Excel, Database, Sql",Toronto,ON,In Person,Not Applicable
Claims Compliance Analyst -,Allstate,"Tableau, Excel",Remote in South Dundas,Remote,Hybrid,Not Applicable
Pricing & Legal Project Management Analyst,Gowling WLG,"Power Bi, Excel, Database, Sql",Hamilton,ON,In Person,Not Applicable
Business Analyst 7735-0214,Foilcon,"Sql, Gap, Power BI",Toronto,ON,In Person,Not Applicable
Pricing & Legal Project Management Analyst,Gowling WLG,"Power Bi, Excel, Database, Sql",Ottawa,ON,In Person,Not Applicable
Senior Business Intelligence Engineer (GCS),Royal Bank of Canada,"Python, Sql, Tableau, Jira, Html, Github, Powershell, Javascript",Toronto,ON,In Person,Senior
Pricing & Legal Project Management Analyst,Gowling WLG,"Power Bi, Excel, Database, Sql",Waterloo,ON,In Person,Not Applicable
Pricing & Legal Project Management Analyst,Gowling WLG,"Power Bi, Excel, Database, Sql",Calgary,AB,In Person,Not Applicable
Senior Actuarial Analyst,Northbridge Financial Corporation,C,Toronto,ON,In Person,Senior
"Board and CEO Practice, Senior Business Analyst",Egon Zehnder,Unknown,Montreal,QC,In Person,Senior
Pricing & Legal Project Management Analyst,Gowling WLG,"Power Bi, Excel, Database, Sql",Vancouver,BC,In Person,Not Applicable
Total Rewards Analyst,SAIT,Excel,Calgary,AB,In Person,Not Applicable
"Senior Analyst, Revenue Growth Pricing",Corby Spirit and Wine Limited,"Excel, Machine Learning, Power BI",Toronto,ON,In Person,Senior
Senior Business Analyst Order to Cash,Purolator,"Excel, Excel",Mississauga,ON,In Person,Senior
Learning & Development Analyst Student,PCL Construction,"Power BI, Tableau, Excel",Edmonton,AB,In Person,Not Applicable
"Technical Business Analyst, Capital Markets Technology, eFX",Scotiabank,"Sql, Gap, Excel",Toronto,ON,In Person,Not Applicable
Senior Analyst Supply Chain Systems,Loblaw Companies Limited,"Power Bi, Excel",Brampton,ON,In Person,Senior
Data Analyst & BI Specialist,UniUni (Uni Express Inc.),"Sql, Aws",Remote,Remote,Remote,Not Applicable
"Data Analyst, Business Intelligence",Bell,"Sas, Sql, Teradata",Toronto,ON,In Person,Not Applicable
Business Analyst,TripNinja,"Power BI, Aws, Sql",Remote,Remote,Remote,Not Applicable
Senior Data Analyst,Scene+,"Sql, Python, Tableau, Machine Learning",Toronto,ON,In Person,Senior
Power BI Developer | Data Analyst,Silver Gold Bull Inc.,"Power Bi, Sql, Mysql, Excel, Zoho Analytics, Database",Calgary,AB,In Person,Not Applicable
Data and Business Intelligence Analyst,University of Toronto,"Sql, Database, Excel, Power Bi, Python, Postgresql",Toronto,ON,In Person,Not Applicable
Power BI Developer | Data Analyst,Silver Gold Bull Inc.,"Power Bi, Sql, Mysql, Excel, Zoho Analytics, Database",Calgary,AB,In Person,Not Applicable
"Data Analyst, BORN Ontario, Temporary Full-Time (1.0)",CHEO,"Sas, Excel, Sql, Database",Ottawa,ON,In Person,Not Applicable
Program Reporting Analyst,Turner & Townsend,Unknown,Toronto,ON,In Person,Not Applicable
"Program Management, Business Analyst (16 Month Contract)",L3Harris Technologies,"Sql, Excel",Waterdown,ON,In Person,Not Applicable
Data Integrity Analyst,Shared Health,Unknown,Winnipeg,MB,In Person,Not Applicable
Business Analyst,Teleperformance,"Excel, Sql",Toronto,ON,In Person,Not Applicable
"Business Analyst, Sr",Saskatchewan Blue Cross,"Excel, Jira",Saskatoon,SK,In Person,Not Applicable
Field Data Capture Analyst,i3 Energy Canada Ltd.,Unknown,Calgary,AB,In Person,Not Applicable
Business Analyst,Scotiabank,"Gap, Sql, Database",Toronto,ON,In Person,Not Applicable
"Analyst, Business Systems",Northwestel Inc.,"Html, Php, Perl, Powershell, Css, Python, Javascript",Whitehorse,YT,In Person,Not Applicable
Business Analyst -Pharmacy,Atlantis IT group,Unknown,Toronto,ON,In Person,Not Applicable
Banking Operations Analyst,Relay Financial,Looker,Toronto,ON,In Person,Not Applicable
Medical Information Analyst (Health Information Management Professional) (12 Month Term),Canadian Medical Protective Association,Excel,Remote in Ottawa,Remote,Hybrid,Not Applicable
"Senior Data Analyst, Data Analysis Chapter",EDC,"Sql, Azure, Power Bi, Python, R",Ottawa,ON,In Person,Senior
Project Analyst,Town of Okotoks,"Power Platform, Azure",Okotoks,AB,In Person,Not Applicable
Inventory Analyst,GraingerCanada,Sql,Thornhill,ON,In Person,Not Applicable
Business System Analyst -Data Engineer,Zortech Solutions,Sql,Toronto,ON,In Person,Not Applicable
database analyst,R.E. ROYAL TRADING INC.,Database,Concord,ON,In Person,Not Applicable
Business System Analyst -Data Engineer,Esolutions,Sql,Toronto,ON,In Person,Not Applicable
"Analyst, Supply Chain Management",Elk Valley Resources,"Excel, Reason",Sparwood,BC,In Person,Not Applicable
Supply Chain Analyst,Cardinal Health,"Tableau, Excel",Vaughan,ON,In Person,Not Applicable
Senior Business Process Analyst,BC Financial Services Authority,C,Vancouver,BC,In Person,Senior
Sustainable Investing Analyst (6-month Contract),Mackenzie Financial Corporation,Unknown,Greater Toronto Area,ON,In Person,Not Applicable
HRIS Analyst - 8 to 12 Month Term,Northwestel Inc.,"Html, Excel, Sql, Database",Yellowknife,NT,In Person,Not Applicable
Power Market Analyst - 24321,Enverus,"Python, Sql",Calgary,AB,In Person,Not Applicable
Business Analyst - Ottawa,RealDecoy,"Html, Tableau, Power BI, Sql, Php, Css, Qlik Sense, Python, Javascript",Ottawa,ON,In Person,Not Applicable
